"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta";"aktsiate_arv"
"ANTM";"Anthem Inc.";"Health Care";137.65;0.5;1674628;8.988;1.752;2.81e+08
"AON";"Aon plc";"Financials";93.12;0.38;1387079;4.257;1;285100000
"APA";"Apache Corporation";"Energy";67.31;-1.1;6044705;-1.069;1;376500000
"APC";"Anadarko Petroleum Corp";"Energy";83.07;-2.96;5472018;-3.47;0.99;5.07e+08
"APD";"Air Products & Chemicals Inc";"Materials";148.42;0.01;988181;4.76;3.08;214300000
"APH";"Amphenol Corp A";"Industrials";54.57;-0.02;811290;2.21;0.45;3.1e+08
"ARG";"Airgas Inc";"Materials";112.1;-0.83;501695;4.751;2.13;74700000
"AZO";"AutoZone Inc";"Consumer Discretionary";601.63;-1.02;281367;32.623;0;31900000
"ATI";"Allegheny Technologies Inc";"Materials";30.21;-2.01;976307;-0.027;0.72;108700000
"AVB";"AvalonBay Communities, Inc.";"Financials";173.34;-0.2;687661;5.21;4.64;132100000
"AVGO";"Avago Technologies";"Information Technology";104.8;1.55;1665825;0.988;1.23;255300000
"AVP";"Avon Products";"Consumer Staples";8.74;0.34;13516574;-0.29;0.24;434700000
"AVY";"Avery Dennison Corp";"Materials";51.5;-0.64;1089760;2.597;1.34;9.3e+07
"AXP";"American Express Co";"Financials";83.61;-0.14;6155698;5.56;1.01;1.028e+09
"BA";"Boeing Company";"Industrials";147.22;-0.08;4766204;7.38;2.92;706400000
"BAC";"Bank of America Corp";"Financials";15.79;-0.63;83848120;0.36;0.12;10519300000
"BAX";"Baxter International Inc.";"Health Care";70.07;-0.54;2556221;4.567;2.05;5.42e+08
"BBBY";"Bed Bath & Beyond";"Consumer Discretionary";78.51;1.26;2729471;4.943;0;1.82e+08
"BBT";"BB&T Corporation";"Financials";36.37;-0.3;3751723;2.75;0.95;720700000
"BBY";"Best Buy Co. Inc.";"Consumer Discretionary";36.21;0.72;5067267;2.855;0.72;350800000
"BCR";"Bard (C.R.) Inc.";"Health Care";172.58;0.01;775378;3.76;0.87;74900000
"BDX";"Becton Dickinson";"Health Care";139.92;-0.93;1509077;5.99;2.235;1.92e+08
"BEN";"Franklin Resources";"Financials";52.94;-1.18;1621766;3.74;1.01;621800000
"BF.B";"Brown-Forman Corporation";"Consumer Staples";0;NA;NA;NA;NA;NA
"BHI";"Baker Hughes Inc";"Energy";60.98;-1.28;5058216;3.92;0.49;4.34e+08
"BIIB";"BIOGEN IDEC Inc.";"Health Care";391.12;-0.7;2166026;12.37;0;235500000
"BK";"The Bank of New York Mellon Corp.";"Financials";37.17;-0.61;5828014;2.67;0.68;1118200000
"BLK";"BlackRock";"Financials";350.78;-0.61;544680;19.25;7.72;166900000
"BLL";"Ball Corp";"Materials";66.15;1.22;1355630;3.613;0.52;136900000
"BMY";"Bristol-Myers Squibb";"Health Care";59.24;-1.04;7261852;1.2;1.45;1658800000
"BRCM";"Broadcom Corporation";"Information Technology";43.765;2.78;9858457;1.08;0.48;5.99e+08
"BRK.B";"Berkshire Hathaway";"Financials";0;NA;NA;NA;NA;NA
"BSX";"Boston Scientific";"Health Care";14.96;2.12;27499060;0.211;0;1326500000
"BWA";"BorgWarner";"Consumer Discretionary";57.44;0.72;1976227;2.869;0.385;227400000
"BXP";"Boston Properties";"Financials";141.13;-0.48;892146;2.829;7.1;153100000
"C";"Citigroup Inc.";"Financials";48.4;-0.98;19581788;2.199;0.04;3024800000
"CA";"CA, Inc.";"Information Technology";31.51;1.06;4415656;1.801;1;442800000
"CAG";"ConAgra Foods Inc.";"Consumer Staples";36.26;0.78;2381215;0.936;1;425900000
"CAH";"Cardinal Health Inc.";"Health Care";83.87;0.54;2653076;3.239;1.332;3.31e+08
"CAM";"Cameron International Corp.";"Energy";46.21;-3.67;4419811;3.957;0;1.95e+08
"CAT";"Caterpillar Inc.";"Industrials";81.95;-2.35;8806514;5.88;2.7;605800000
"CB";"Chubb Corp.";"Financials";99.91;0.75;1669378;8.62;2;232400000
"CBG";"CBRE Group";"Financials";33.74;0.18;2640733;1.18;0;330400000
"CBS";"CBS Corp.";"Consumer Discretionary";56.74;-0.32;5416820;5.161;0.54;518300000
"CCE";"Coca-Cola Enterprises";"Consumer Staples";43.04;-0.09;2178572;2.68;1;241700000
"CCI";"Crown Castle International Corp.";"Financials";86.27;-1.11;3071917;0;1.87;NA
"CCL";"Carnival Corp.";"Consumer Discretionary";43.46;-0.53;4067356;1.59;1;7.77e+08
"CELG";"Celgene Corp.";"Health Care";116.57;-0.88;7048177;2.39;0;8e+08
"CERN";"Cerner";"Health Care";66.78;-0.73;1402560;1.249;0;341500000
"CF";"CF Industries Holdings Inc";"Materials";297.06;-1.32;762217;27.747;5;49700000
